Date,MJD,OpenTime,CloseTime,OpenPrice,ClosePrice,MinPrice,MaxPrice,Quantity
20190102,58485,09:30:00,09:59:59,154.89,155.19,154.23,155.55,3998975
20190102,58485,10:00:00,10:59:59,155.17,156.88,154.57,157.2,5238472
20190102,58485,11:00:01,11:59:58,156.88,157.03,156.73,158.43,4255955
20190102,58485,12:00:00,12:59:58,157.065,158.17,156.92,158.39,2504271
20190102,58485,13:00:00,13:59:59,158.17,158.74,158.15,158.85,2509670
20190102,58485,14:00:01,14:59:59,158.73,157.9211,157.76,158.73,2187788
20190102,58485,15:00:00,16:00:00,157.91,157.92,156.73,158.03,6631302
20190103,58486,09:30:00,09:59:59,143.98,144.41,142.81,144.98,17240451
20190103,58486,10:00:00,10:59:59,144.4,143.1931,142.08,144.4,14726345
20190103,58486,11:00:00,11:59:59,143.195,144.73,143.15,145.5,10403562
20190103,58486,12:00:00,12:59:59,144.7282,145.04,144.42,145.72,6409298
20190103,58486,13:00:00,13:59:59,145.01,142.96,142.9,145.1708,6237507
20190103,58486,14:00:00,14:59:58,142.95,142.624,142.5,143.97,5737074
20190103,58486,15:00:00,16:00:00,142.63,142.19,142.0,143.34,15303063
20190104,58487,09:30:00,09:59:59,144.53,145.3899,143.8,145.4099,8626877
20190104,58487,10:00:00,10:59:59,145.38,147.1901,145.18,147.24,11062543
20190104,58487,11:00:00,11:59:59,147.19,147.1,146.97,147.97,6389623
20190104,58487,12:00:00,12:59:59,147.1,147.52,146.85,147.86,4155452
20190104,58487,13:00:00,13:59:59,147.53,147.855,147.47,148.5499,5007438
20190104,58487,14:00:00,14:59:59,147.86,147.1661,147.15,148.35,3910492
20190104,58487,15:00:00,16:00:00,147.16,148.26,147.08,148.29,10552374
20190107,58490,09:30:00,09:59:59,148.7,147.2997,146.43,148.82,6451320
20190107,58490,10:00:00,10:59:59,147.26,148.03,146.7,148.83,7166280
20190107,58490,11:00:00,11:59:59,148.03,147.2705,145.9,148.03,9240421
20190107,58490,12:00:00,12:59:59,147.27,147.68,146.81,147.885,4818103
