Date,MJD,BarIdx,OpenTime,CloseTime,OpenPrice,ClosePrice,MinPrice,MaxPrice,Quantity
2016/1/4,57391,0,9:30:00,9:44:59,25.65,25.66,25.5,25.92,5903720
2016/1/4,57391,1,9:45:00,9:59:59,25.66,25.67,25.61,25.81,2451891
2016/1/4,57391,2,10:00:00,10:14:59,25.67,25.74,25.6,25.75,2252060
2016/1/4,57391,3,10:15:00,10:29:59,25.74,25.82,25.72,25.9,2297688
2016/1/4,57391,4,10:30:00,10:44:59,25.82,25.88,25.75,25.89,1787492
2016/1/4,57391,5,10:45:00,10:59:59,25.88,25.84,25.8,25.98,2075117
2016/1/4,57391,6,11:00:00,11:14:59,25.83,25.76,25.62,25.84,1678447
2016/1/4,57391,7,11:15:00,11:29:59,25.76,25.86,25.72,25.87,1500437
2016/1/4,57391,8,11:30:00,11:44:58,25.86,25.95,25.8,25.96,1327163
2016/1/4,57391,9,11:45:00,11:59:59,25.95,25.96,25.9,25.98,1164070
2016/1/4,57391,10,12:00:00,12:14:59,25.96,25.94,25.92,25.99,1048382
2016/1/4,57391,11,12:15:00,12:29:59,25.94,25.97,25.93,26.01,1225702
2016/1/4,57391,12,12:30:00,12:44:56,25.97,26.11,25.95,26.12,1523306
2016/1/4,57391,13,12:45:00,12:59:59,26.11,26.2,26.11,26.22,1759301
2016/1/4,57391,14,13:00:00,13:14:58,26.2,26.22,26.14,26.24,1505478
2016/1/4,57391,15,13:15:00,13:29:58,26.23,26.17,26.15,26.25,1157138
2016/1/4,57391,16,13:30:00,13:44:58,26.16,26.14,26.12,26.2,896368
2016/1/4,57391,17,13:45:00,13:59:59,26.14,26.16,26.08,26.19,1291415
2016/1/4,57391,18,14:00:00,14:14:59,26.16,26.22,26.1,26.22,1574339
2016/1/4,57391,19,14:15:00,14:29:59,26.22,26.31,26.2,26.34,1935376
2016/1/4,57391,20,14:30:00,14:44:59,26.3,26.26,26.22,26.32,1254235
2016/1/4,57391,21,14:45:00,14:59:59,26.26,26.19,26.15,26.29,1019980
2016/1/4,57391,22,15:00:02,15:14:59,26.19,26.04,26,26.19,1367838
2016/1/4,57391,23,15:15:00,15:29:59,26.04,26.01,25.96,26.07,1586810
2016/1/4,57391,24,15:30:00,15:44:59,26.01,26.18,26,26.19,1639965
2016/1/4,57391,25,15:45:00,16:00:00,26.18,26.34,26.17,26.34,6405967
2016/1/5,57392,0,9:30:00,9:44:59,26.44,26.24,26.09,26.46,3107246
2016/1/5,57392,1,9:45:00,9:59:58,26.24,26.03,26.02,26.26,2011577
2016/1/5,57392,2,10:00:00,10:14:59,26.03,26.02,25.96,26.07,1986533
2016/1/5,57392,3,10:15:00,10:29:59,26.02,26.05,26,26.09,1090367
2016/1/5,57392,4,10:30:00,10:44:59,26.05,26.08,26.05,26.15,1160160
2016/1/5,57392,5,10:45:00,10:59:59,26.08,26.12,26.07,26.24,1327446
2016/1/5,57392,6,11:00:00,11:14:59,26.12,26,26,26.14,1110477
2016/1/5,57392,7,11:15:01,11:29:59,26,25.98,25.97,26.03,1131842
2016/1/5,57392,8,11:30:00,11:44:56,25.98,26.01,25.97,26.04,705259
2016/1/5,57392,9,11:45:00,11:59:58,26.01,26.02,26,26.07,724556
2016/1/5,57392,10,12:00:00,12:14:59,26.02,25.76,25.6,26.02,5316536
